pays,operator,offer_name,offer_type,source_url,debit_mbps_telecharg,jours_valides,prix_original_eur,cout_mbps_eur
Comores,Comores Telecom,ADSL - ALMASSE,adsl,https://www.comorestelecom.km/portail/offres/3/,4,30,191.20,47.80
Comores,Comores Telecom,ADSL - LOULOU,adsl,https://www.comorestelecom.km/portail/offres/3/,2,30,114.72,57.36
Comores,Comores Telecom,ADSL - FEDHA,adsl,https://www.comorestelecom.km/portail/offres/3/,0.5,30,32.78,65.56
Comores,Comores Telecom,ADSL - DHAHABOU,adsl,https://www.comorestelecom.km/portail/offres/3/,1,30,76.48,76.48
